Product,Product type,Issuer,Product description,GICS sector,GICS industry group,GICS industry,GICS sub-industry,Region,Country
ENEL 2.5% 10/01/18,Bond,ENEL S P A,ENEL 2.5% 10/01/18,Utilities,Utilities,Utilities,Utilities,Western Europe,IT
ENELIM 1 160924 S,Bond,ENEL S P A,ENELIM 1 09/16/24,Utilities,Utilities,Utilities,Utilities,Western Europe,NL
ENELIM 1.125 160926 S,Bond,ENEL S P A,ENELIM 1 1/8 09/16/26,Utilities,Utilities,Utilities,Utilities,Western Europe,NL
ENELIM 1.5 210725 S,Bond,ENEL FIN INTL NV,ENELIM 1 1/2 07/21/25,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ENELIM 5 140922,Bond,No Issuer,ENELIM 5 09/14/22,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ENELIM 5.25 200524,Bond,No Issuer,ENELIM 5 1/4 05/20/24,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
ENELIM 5.625 210627,Bond,ENEL S P A,ENELIM 5 5/8 06/21/27,Utilities,Utilities,Utilities,Utilities,No Region,No Country
ENEXIS 0.625 170632 S,Bond,ENEXIS HLDG NV,ENEXIS 0 5/8 06/17/32,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ENFP 1.375 070627 S,Bond,BOUYGUES,ENFP 1 3/8 06/07/27,Communication Services,Telecommunication Services,Telecommunication Services,Telecommunication Services,No Region,No Country
ENGIFP 0.375 280223 S,Bond,ENGIE,ENGIFP 0 3/8 02/28/23,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
ENGIFP 0.5 241030 S,Bond,ENGIE,ENGIFP 0 1/2 10/24/30,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
ENGIFP 0.875 270324 S,Bond,ENGIE,ENGIFP 0 7/8 03/27/24,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
ENGIFP 1.375 190520 S,Bond,ENGIE,ENGIFP 1 3/8 05/19/20,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
ENGIFP 1.5 270328 S,Bond,ENGIE,ENGIFP 1 1/2 03/27/28,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ENGIFP 3.5 270929 S,Bond,ENGIE,ENGIFP 3 1/2 09/27/29,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
ENGIFP 3.625 110130 S,Bond,ENGIE,ENGIFP 3 5/8 01/11/30,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
ENGIFP VAR 020771 S,Bond,ENGIE,ENGIFP 1 7/8 PERP,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
ENGIFP VAR 160470 S,Bond,ENGIE,ENGIFP 1 3/8 PERP,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
ENGIFP VAR 301169 S,Bond,ENGIE,ENGIFP 1 1/2 PERP,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
ENGSM 1.375 050528 S,Bond,ENAGAS FINANCIACIONES SA,ENGSM 1 3/8 05/05/28,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ENIIM 1.125 190928 S,Bond,ENI S.P.A.,ENIIM 1 1/8 09/19/28,Consumer Discretionary,Consumer Services,Consumer Services,Consumer Services,No Region,No Country
ENIIM 1.625 170528 S,Bond,ENI S.P.A.,ENIIM 1 5/8 05/17/28,Consumer Discretionary,Consumer Services,Consumer Services,Consumer Services,No Region,No Country
ENIIM 3.25 100723 S,Bond,ENI S.p.A.,ENIIM 3 1/4 07/10/23,Energy,Energy,"Oil, Gas & Consumable Fuels","Oil, Gas & Consumable Fuels",Western Europe,IT
ENIIM 3.625 290129 S,Bond,ENI S.P.A.,ENIIM 3 5/8 01/29/29,Consumer Discretionary,Consumer Services,Consumer Services,Consumer Services,No Region,No Country
ENIIM 3.75 120925 S,Bond,ENI S.p.A.,ENIIM 3 3/4 09/12/25,Energy,Energy,"Oil, Gas & Consumable Fuels","Oil, Gas & Consumable Fuels",Western Europe,IT
EOANGR 0.35 280230 S,Bond,EON SE,EOANGR 0.35 02/28/30,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
EOANGR 0.375 290927 S,Bond,EON SE,EOANGR 0 3/8 09/29/27,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
EOANGR 0.875 080125 S,Bond,EON SE,EOANGR 0 7/8 01/08/25,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
EOANGR 1 071025 S,Bond,EON SE,EOANGR 1 10/07/25,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
EOANGR 1.25 191027 S,Bond,EON INTL FIN BV,EOANGR 1 1/4 10/19/27,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
EOANGR 3.875 120135 S,Bond,EON SE,EOANGR 3 7/8 01/12/35,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
EOANGR 5.684 160922,Bond,EON INTL FIN BV,EOANGR 5.684 09/16/22,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
EOANGR 5.875 301037,Bond,No Issuer,EOANGR 5 7/8 10/30/37,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
EQIX 1 150333,Bond,EQUINIX INC,EQIX 1 03/15/33,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
ERSTAA 0.0 300620,Bond,No Issuer,ERSTAA ECP 0 06/30/20,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
ES OTR 10Y,Bond,No Issuer,ES OTR 10Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 15Y,Bond,No Issuer,ES OTR 15Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 1Y,Bond,No Issuer,ES OTR 1Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 20Y,Bond,No Issuer,ES OTR 20Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 25Y,Bond,No Issuer,ES OTR 25Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 2Y,Bond,No Issuer,ES OTR 2Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 30Y,Bond,No Issuer,ES OTR 30Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 3M,Bond,No Issuer,ES OTR 3M,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 3Y,Bond,No Issuer,ES OTR 3Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 4Y,Bond,No Issuer,ES OTR 4Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 50Y,Bond,No Issuer,ES OTR 50Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 5Y,Bond,No Issuer,ES OTR 5Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 6M,Bond,No Issuer,ES OTR 6M,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 6Y,Bond,No Issuer,ES OTR 6Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 7Y,Bond,No Issuer,ES OTR 7Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 8Y,Bond,No Issuer,ES OTR 8Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 9M,Bond,No Issuer,ES OTR 9M,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ES OTR 9Y,Bond,No Issuer,ES OTR 9Y,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,ES
ESBIRE 1.75 070229 S,Bond,ESB FINANCE DAC,ESBIRE 1 3/4 02/07/29,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ESBIRE 1.875 140631 S,Bond,ESB FINANCE DAC,ESBIRE 1 7/8 06/14/31,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ESBIRE 2.125 080627 S,Bond,ESB FINANCE DAC,ESBIRE 2 1/8 06/08/27,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
EUROGR 1.5 180428 S,Bond,EUROGRID GMBH,EUROGR 1 1/2 04/18/28,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
